Work ID,Client Name,Work Title,Work Type,Assignee,Status,Start Date
W-1000,Acme Holdings,1040 Individual Return - Acme,1040 Individual Return,Dana Whitfield,Ready to Send,2026-08-18
W-1001,Foster & Sons,Monthly Bookkeeping - Foster,Monthly Bookkeeping,Maria Lopez,In Progress,2026-08-07
W-1002,Kestrel Design,Audit Engagement - Kestrel,Audit Engagement,Aisha Khan,Completed,2026-07-27
W-1003,Delta Logistics,Financial Statement - Delta,Financial Statement,James Patel,Awaiting Review,2026-07-16
W-1004,Ironwood Mfg,Sales Tax Return - Ironwood,Sales Tax Return,Tom Becker,Sent,2026-07-05
W-1005,Briar Cafe LLC,1120 Corp Return - Briar,1120 Corp Return,Dana Whitfield,Ready to Send,2026-06-24
W-1006,Greenline Media,Payroll Filing - Greenline,Payroll Filing,Maria Lopez,In Progress,2026-06-13
W-1007,Lumen Tax Co,1040 Individual Return - Lumen,1040 Individual Return,Aisha Khan,Completed,2026-08-15
W-1008,Evergreen Farms,Monthly Bookkeeping - Evergreen,Monthly Bookkeeping,James Patel,Awaiting Review,2026-08-04
W-1009,Juniper Health,Audit Engagement - Juniper,Audit Engagement,Tom Becker,Sent,2026-07-24
W-1010,Cedar Dental,Financial Statement - Cedar,Financial Statement,Dana Whitfield,Ready to Send,2026-07-13
W-1011,Harbor Realty,Sales Tax Return - Harbor,Sales Tax Return,Maria Lopez,In Progress,2026-07-02
W-1012,Acme Holdings,1120 Corp Return - Acme,1120 Corp Return,Aisha Khan,Completed,2026-06-21
W-1013,Foster & Sons,Payroll Filing - Foster,Payroll Filing,James Patel,Awaiting Review,2026-06-10
W-1014,Kestrel Design,1040 Individual Return - Kestrel,1040 Individual Return,Tom Becker,Sent,2026-08-12
W-1015,Delta Logistics,Monthly Bookkeeping - Delta,Monthly Bookkeeping,Dana Whitfield,Ready to Send,2026-08-01
W-1016,Ironwood Mfg,Audit Engagement - Ironwood,Audit Engagement,Maria Lopez,In Progress,2026-07-21
W-1017,Briar Cafe LLC,Financial Statement - Briar,Financial Statement,Aisha Khan,Completed,2026-07-10
W-1018,Greenline Media,Sales Tax Return - Greenline,Sales Tax Return,James Patel,Awaiting Review,2026-06-29
W-1019,Lumen Tax Co,1120 Corp Return - Lumen,1120 Corp Return,Tom Becker,Sent,2026-06-18
W-1020,Evergreen Farms,Payroll Filing - Evergreen,Payroll Filing,Dana Whitfield,Ready to Send,2026-06-07
W-1021,Juniper Health,1040 Individual Return - Juniper,1040 Individual Return,Maria Lopez,In Progress,2026-08-09
W-1022,Cedar Dental,Monthly Bookkeeping - Cedar,Monthly Bookkeeping,Aisha Khan,Completed,2026-07-29
W-1023,Harbor Realty,Audit Engagement - Harbor,Audit Engagement,James Patel,Awaiting Review,2026-07-18
W-1024,Acme Holdings,Financial Statement - Acme,Financial Statement,Tom Becker,Sent,2026-07-07
